Date,20MICRONS,21STCENMGM,3IINFOLTD,3MINDIA,5PAISA
2015-01-02,0.0021663525710965952,,0.00020645718849459418,4.926720579488864e-05,
2015-01-05,0.0009075425445992094,,0.0001622396919812614,1.7842717774365073e-05,
2015-01-06,0.0016517081603446078,,0.00015191617694389146,6.0718502276943836e-05,
2015-01-07,0.0015023592592067789,,0.00013076790120513523,2.050580997949419e-05,
2015-01-08,0.0011191532172360535,,7.646171818192655e-05,8.406494394190908e-05,
2015-01-09,0.0005941932467090814,,5.840674208198734e-05,2.778492867351377e-05,
2015-01-12,0.007232425998611367,,9.309461086409746e-05,2.0594579719665162e-05,
2015-01-13,0.022471086676207615,,5.782086278623452e-05,3.124694854018162e-05,
2015-01-14,0.009067547078911197,,4.505072057789274e-05,5.7700331111130836e-05,
2015-01-15,0.002924574554007907,,4.7223778474448985e-05,4.4651179305998173e-05,
2015-01-16,0.0016266277471554277,,5.781967076325232e-05,3.595174476924306e-05,
2015-01-19,0.0014871409745936832,,0.00011040218855419532,4.7136732030785344e-05,
2015-01-20,0.0019048928060306349,,5.3947384105565554e-05,0.0002557456214325661,
2015-01-21,0.0008166862681195357,,4.240085348845526e-05,9.116652315558672e-05,
2015-01-22,0.0013253227154860923,,4.906783802791718e-05,0.00013049151805132666,
2015-01-23,0.0009270967650517903,,0.00013267454196516908,4.598272540856273e-05,
2015-01-27,0.001133634676150936,,3.21780643930815e-05,0.00016031815074877276,
2015-01-28,0.0011882731356184376,,6.936858542632702e-05,0.0001330658405162848,
2015-01-29,0.0011428449973786008,,4.053891359025402e-05,7.67858252478895e-05,
2015-01-30,0.0006993609454040497,,4.243601816643025e-05,0.00015490319659834355,
2015-02-02,0.000563643319683165,,5.333706833867757e-05,6.276020630087615e-05,
2015-02-03,0.0012153656497527383,,3.335041899607824e-05,0.00012081561637269087,
2015-02-04,0.0010258314086123588,,2.7345007211739042e-05,2.6453382570949216e-05,
2015-02-05,0.0009211171411162909,,3.347736944368287e-05,8.042538459489929e-05,
2015-02-06,0.0008751222138778286,,5.065024853679179e-05,4.60714951487337e-05,
2015-02-09,0.0008606407549629462,,4.834904816964871e-05,9.915579977097407e-05,
2015-02-10,0.0009029232142604112,,4.012885768437616e-05,6.9240397333357e-05,
2015-02-11,0.002080257322205376,,0.0001139734894088758,0.00015090855829064987,
2015-02-12,0.0006387995409009111,,6.269564077195409e-05,7.323503564105068e-05,
2015-02-13,0.0008422201125076163,,4.5322501817835045e-05,6.178373915899549e-05,
2015-02-16,0.0018793873010924857,,5.624262435779762e-05,5.059875189745319e-05,
2015-02-18,0.0013736698170688506,,0.0001538079174166478,0.00033732501264968796,
2015-02-19,0.001338273844104686,,5.16938646577106e-05,0.00033492822966507175,
2015-02-20,0.0006290507701245518,,0.00031207221275226187,0.0001430080514154335,
2015-02-23,0.0009221373613138169,,6.023351730221359e-05,0.00023373072587016538,
2015-02-24,0.0005328666770577983,,4.6081820457498424e-05,9.942210899148698e-05,
2015-02-25,0.0009615858756181542,,4.6326781180341154e-05,4.775812021198214e-05,
2015-02-26,0.0011171977951907953,,0.00013608074763681445,6.222758785985033e-05,
2015-02-27,0.0010170178396837317,,0.00011725691671335424,7.145964083763127e-05,
2015-03-02,0.0011342864834993553,,5.493437913482972e-05,2.3257671924794275e-05,
2015-03-03,0.0010770124551882448,,9.713199270481935e-05,4.358594242394652e-05,
2015-03-04,0.0009609340682697349,,4.803316207936489e-05,5.965326539489219e-05,
2015-03-05,0.00036297167471979367,,4.869890691492532e-05,0.0001195728400102973,
2015-03-09,0.0003930681705468097,,7.176812768950186e-05,8.876974017097052e-05,
2015-03-10,0.0004478766667138991,,5.821780643930815e-05,2.574322464958145e-05,
2015-03-11,0.0010349850509401611,,3.9596619422822474e-05,4.704796229061438e-05,
2015-03-12,0.0010054553441117707,,2.7211500637732294e-05,5.725648241027599e-05,
2015-03-13,0.0003765462712368753,,6.062807690932281e-05,3.2667264382917154e-05,
2015-03-16,0.0002939651141371346,,5.5647804889678275e-05,3.595174476924306e-05,
2015-03-17,0.0006106301276692219,,3.963714820421738e-05,4.678165307010146e-05,
2015-03-18,0.0010668669321128477,,4.771727598908107e-05,3.37325012649688e-05,
2015-03-19,0.0009979737293299136,,2.7388516050589457e-05,4.7403041251298255e-05,
2015-03-20,0.0006521190823686112,,5.909573136570073e-05,4.447363982565623e-05,
2015-03-23,0.0010848908222691397,,7.72901741545577e-05,0.0018170278115595955,
2015-03-24,0.004811556827681975,,9.981523643775852e-05,5.610247578805337e-05,
2015-03-25,0.0012933274765136809,,8.250706273616956e-05,3.6395593470097914e-05,
2015-03-26,0.0012730080909129553,,8.640259384200928e-05,5.983080487523413e-05,
2015-03-27,0.003957264109503635,,0.00014235376858065825,5.5481087606856576e-05,
2015-03-30,0.00037357062899409123,,0.00013174297600457736,4.092285021881741e-05,
2015-03-31,0.0007740353959729641,,0.00015623010811648447,1.5801013750432752e-05,
2015-04-01,0.0018143766029501368,,9.550249728814772e-05,2.751861945300086e-05,
2015-04-06,0.002175052782225497,,0.00018778712853583817,0.0001096306291111486,
2015-04-07,0.0006934663398183441,,0.0001297224970497431,0.0002113607513470808,
2015-04-08,0.00043075963895540786,,8.899762787426541e-05,0.00043736850982237176,
2015-04-09,0.005777365281339889,,0.00014642750712233731,0.0003113154787795936,
2015-04-10,0.00146132373570629,,0.00024636730996173607,0.00016990528268723758,
2015-04-13,0.002759383900358494,,0.00041872608503891955,9.409592458122876e-05,
2015-04-15,0.0008461026171482012,,0.00025163664755456483,0.00013688293934363655,
2015-04-16,0.0011413430065322432,,8.642524227867114e-05,0.00012516533364106844,
2015-04-17,0.002429569382058294,,5.6186599277634075e-05,4.234316606155294e-05,
2015-04-20,0.0013937341476201947,,6.377620960532118e-05,6.568960772651818e-05,
2015-04-21,0.0008656001587009196,,2.7727050577535135e-05,7.323503564105068e-05,
2015-04-22,0.0003366726651835688,,3.5886447890715335e-05,7.598689758635076e-05,
