,0
2015-01-26,7999.999999999999
2015-01-27,8013.3296492121035
2015-01-28,7985.542431684983
2015-01-29,8041.584918997469
2015-01-30,8070.390009269877
2015-01-31,8070.390009269877
2015-02-01,8070.390009269877
2015-02-02,8211.460339871244
2015-02-03,8303.896130394016
2015-02-04,8437.209312455241
2015-02-05,8446.070269991133
2015-02-06,8431.52626001492
2015-02-07,8431.52626001492
2015-02-08,8431.52626001492
2015-02-09,8321.66685899643
2015-02-10,8270.613403962852
2015-02-11,8272.229070849267
2015-02-12,8480.337182467203
2015-02-13,8607.191816458691
2015-02-14,8607.191816458691
2015-02-15,8607.191816458691
2015-02-16,8522.9844727022
2015-02-17,8522.9844727022
2015-02-18,8392.168201162627
2015-02-19,8328.104585164629
2015-02-20,8459.400900003284
2015-02-21,8459.400900003284
2015-02-22,8459.400900003284
2015-02-23,8271.957244114941
2015-02-24,8238.76963841787
2015-02-25,8230.759199198756
2015-02-26,8199.254606463863
2015-02-27,8392.205040431427
2015-02-28,8392.205040431427
2015-03-01,8392.205040431427
2015-03-02,8340.823532455046
2015-03-03,8315.990825275054
2015-03-04,8505.13550842587
2015-03-05,8880.359493069482
2015-03-06,8880.359493069482
2015-03-07,8880.359493069482
2015-03-08,8880.359493069482
2015-03-09,8761.852068359149
2015-03-10,8841.999073785515
2015-03-11,8776.829508894656
2015-03-12,8997.937289734715
2015-03-13,8758.216055722145
2015-03-14,8758.216055722145
2015-03-15,8758.216055722145
2015-03-16,8414.289079416612
2015-03-17,8431.582407261465
2015-03-18,8647.51127285302
2015-03-19,8541.807010641056
2015-03-20,8432.50092370939
2015-03-21,8432.50092370939
2015-03-22,8432.50092370939
2015-03-23,8429.164735928875
2015-03-24,8594.95056486645
2015-03-25,8526.374179071601
2015-03-26,8530.161460309402
2015-03-27,8582.501037632817
2015-03-28,8582.501037632817
2015-03-29,8582.501037632817
2015-03-30,8518.541682614854
2015-03-31,8546.519242122791
2015-04-01,9020.97579707699
2015-04-02,9020.97579707699
2015-04-03,9020.97579707699
2015-04-04,9020.97579707699
2015-04-05,9020.97579707699
2015-04-06,9297.568901850182
2015-04-07,9442.855751353762
2015-04-08,9643.779175923512
2015-04-09,9575.510258134702
2015-04-10,9800.424903273873
2015-04-11,9800.424903273873
2015-04-12,9800.424903273873
2015-04-13,9803.62898847072
2015-04-14,9803.62898847072
2015-04-15,9680.727890399923
2015-04-16,9568.956128575197
2015-04-17,9373.96832731018
2015-04-18,9373.96832731018
2015-04-19,9373.96832731018
2015-04-20,9194.887734058924
2015-04-21,9307.045198626973
2015-04-22,9435.920417730777
2015-04-23,9327.542646400201
2015-04-24,9015.173215702822
2015-04-25,9015.173215702822
2015-04-26,9015.173215702822
2015-04-27,7988.90067401951
2015-04-28,7701.687858349842
2015-04-29,7894.742687505584
2015-04-30,7863.038766679302
2015-05-01,7863.038766679302
2015-05-02,7863.038766679302
2015-05-03,7863.038766679302
2015-05-04,7899.500729592449
2015-05-05,7948.572613579868
2015-05-06,7718.4893018667635
2015-05-07,7563.339313373924
2015-05-08,7668.075815588637
2015-05-09,7668.075815588637
