Momentum,Mass,Strategy,Criterion,Portfolio,Mean,Std
Momentum 1,Turnover Rate,Contrarian Strategy,1-2,W,-4.619074474702922,7.178647480383399
Momentum 1,Turnover Rate,Contrarian Strategy,1-2,L,-1.6606216709826205,7.387066081525986
Momentum 1,Turnover Rate,Contrarian Strategy,1-2,L-W,2.9584528037203013,2.6196199853418918
Momentum 1,Inverse Turnover Rate,Strategy,1-2,W,-0.9990390754171519,6.5226559808023925
Momentum 1,Inverse Turnover Rate,Strategy,1-2,L,-2.3321743746072654,5.57912284072318
Momentum 1,Inverse Turnover Rate,Strategy,1-2,W-L,1.3331352991901135,2.420286419753731
Momentum 2,Turnover Rate,Contrarian Strategy,2-1,W,-9.11111521036122,7.500538507346684
Momentum 2,Turnover Rate,Contrarian Strategy,2-1,L,-4.830707443594218,7.915263791383616
Momentum 2,Turnover Rate,Contrarian Strategy,2-1,L-W,4.280407766767002,4.696117527500069
Momentum 2,Inverse Turnover Rate,Contrarian Strategy,3-1,W,-8.645084082184628,7.6051553135570575
Momentum 2,Inverse Turnover Rate,Contrarian Strategy,3-1,L,-2.946433923287073,7.076356540915091
Momentum 2,Inverse Turnover Rate,Contrarian Strategy,3-1,L-W,5.698650158897555,4.780503477785824
Momentum 3,Inverse Volatility,Contrarian Strategy,3-1,W,-4.408980421556508,5.74777448476236
Momentum 3,Inverse Volatility,Contrarian Strategy,3-1,L,-1.6832074573682965,6.087660050134188
Momentum 3,Inverse Volatility,Contrarian Strategy,3-1,L-W,2.725772964188211,3.6466410865020302
