Date,20MICRONS,21STCENMGM,3IINFOLTD,3MINDIA,5PAISA
2015-02-28,0.001036689892586027,,7.8338213308121e-05,0.00011427936024115469,
2015-03-31,0.001142016405842515,,7.200233182400518e-05,0.0001327361243385069,
2015-04-30,0.001408506458784372,,0.00012170259779450654,0.00011345707212167622,
2015-05-31,0.0013493347314128634,,0.00047686947944356367,4.5481176376596746e-05,
2015-06-30,0.0012384983698375505,,0.00019801392716306117,7.854104511036095e-05,
2015-07-31,0.0010005119583237584,,0.00012495367954172418,0.00016166899462093968,
2015-08-31,0.0016950094903419829,,0.00011550072628257416,0.0003699922770326051,
2015-09-30,0.000873876695053349,,8.616365283522667e-05,8.303965344293438e-05,
2015-10-31,0.005658119960891559,,0.0001841398064154677,9.190331199900578e-05,
2015-11-30,0.0033064990230761843,,0.00010344382061908377,8.099745625377888e-05,
2015-12-31,0.00421463011221134,,0.00037539859623038986,0.00011333474826919182,
2016-01-31,0.0026887208989273517,,0.00025579165226305564,5.720765905318196e-05,
2016-02-29,0.0007544258461181364,,0.00010031432510780712,0.00016528080193737844,
2016-03-31,0.000731285335751633,,7.728910133387372e-05,8.993706225421878e-05,
2016-04-30,0.0015262541387405003,,6.546474327136139e-05,0.0003162126094456921,
2016-05-31,0.0007847670303992127,,6.097541615147794e-05,0.00011423455063547028,
2016-06-30,0.0007676873591883582,,0.0001844556139406004,6.301037556863071e-05,
2016-07-31,0.0007298825329800348,,0.0001456942341848351,0.0001222359322154264,
2016-08-31,0.008364692652224712,,0.00028859626831787135,0.00012434623103858174,
2016-09-30,0.005195688152692956,,0.00023780870415181606,0.00011407799309371421,
2016-10-31,0.006700078878135642,,0.00025038826837470315,6.476738875918644e-05,
2016-11-30,0.007349809349724332,,0.00014067982773565018,9.128065567866367e-05,
2016-12-31,0.0013519836970873487,,7.327300252167043e-05,8.805958224960276e-05,
2017-01-31,0.006721714023911748,,0.0001563080437143209,6.745654826896893e-05,
2017-02-28,0.0036123879193399595,,0.00014468185220295257,7.747262271131753e-05,
2017-03-31,0.0014780452993225584,,0.00012010934643547201,0.00011430718042288291,
