Momentum,Mass,Strategy,Criterion,Portfolio,Mean,Std
Momentum 1,Turnover Rate,Strategy,08-Jan,W,1.306097487,8.180783339
Momentum 1,Turnover Rate,Strategy,08-Jan,L,-1.831465708,13.7370838
Momentum 1,Turnover Rate,Strategy,08-Jan,W-L,3.137563195,5.075968205
Momentum 1,Inverse Turnover Rate,Strategy,06-Feb,W,2.121039962,7.10221278
Momentum 1,Inverse Turnover Rate,Strategy,06-Feb,L,-0.203809864,8.403248478
Momentum 1,Inverse Turnover Rate,Strategy,06-Feb,W-L,2.324849827,3.097817942
Momentum 2,Turnover Rate,Strategy,09-Apr,W,1.058269069,8.030754267
Momentum 2,Turnover Rate,Strategy,09-Apr,L,-1.885699566,12.81040102
Momentum 2,Turnover Rate,Strategy,09-Apr,W-L,2.943968636,4.089426439
Momentum 2,Inverse Turnover Rate,Strategy,06-Feb,W,2.519064423,8.551125551
Momentum 2,Inverse Turnover Rate,Strategy,06-Feb,L,-1.801151089,14.15217703
Momentum 2,Inverse Turnover Rate,Strategy,06-Feb,W-L,4.320215511,5.311912303
Momentum 3,Inverse Volatility,Strategy,12-Apr,W,1.653943613,6.185016041
Momentum 3,Inverse Volatility,Strategy,12-Apr,L,-0.845868411,11.28947571
Momentum 3,Inverse Volatility,Strategy,12-Apr,W-L,2.499812024,4.466254632
