Momentum,Mass,Strategy,Criterion,Portfolio,Fin Wealth,Sharpe Ratio,Var 95%,Max DD
Momentum 1,Turnover Rate,Strategy,8-1,W-L,2.6746907383729166,0.2240433089727985,9.082746358445501,-32.46520913002489
Momentum 1,Inverse Turnover Rate,Strategy,6-2,W-L,2.6409530071451135,0.36144367484607665,3.485222965548778,-10.778484575519665
Momentum 2,Turnover Rate,Strategy,9-4,W-L,2.7560498925085817,0.29402596501484,5.568717325772746,-16.74092406105557
Momentum 2,Inverse Turnover Rate,Strategy,6-2,W-L,4.354232694613759,0.3248087731643294,6.799119263826991,-16.93864726039898
Momentum 3,Inverse Volatility,Strategy,12-4,W-L,2.365020428151238,0.2338204505343598,4.062821306076393,-28.084818535690264
