Momentum,Mass,Strategy,Criterion,Portfolio,Fin Wealth,Sharpe Ratio,Var 95%,Max DD
Momentum 1,Turnover Rate,Strategy,08-Jan,W-L,2.674690738,0.224043309,9.082746358,-32.46520913
Momentum 1,Inverse Turnover Rate,Strategy,06-Feb,W-L,2.640953007,0.361443675,3.485222966,-10.77848458
Momentum 2,Turnover Rate,Strategy,09-Apr,W-L,2.756049893,0.294025965,5.568717326,-16.74092406
Momentum 2,Inverse Turnover Rate,Strategy,06-Feb,W-L,4.354232695,0.324808773,6.799119264,-16.93864726
Momentum 3,Inverse Volatility,Strategy,12-Apr,W-L,2.365020428,0.233820451,4.062821306,-28.08481854
