Momentum,Mass,Strategy,Criterion,Portfolio,Fin Wealth,Sharpe Ratio,Var 95%,Max DD
Momentum 1,Turnover Rate,Strategy,7-1,W-L,2.506523371523881,0.21338522202673776,6.107372712266542,-20.357579538283336
Momentum 1,Inverse Turnover Rate,Strategy,7-1,W-L,2.989652682639136,0.394423314629381,3.4869728714413744,-9.438470175002085
Momentum 2,Turnover Rate,Strategy,7-1,W-L,1.8572578099430421,0.13672715689635281,7.051862986852036,-25.91748658768669
Momentum 2,Inverse Turnover Rate,Strategy,8-8,W-L,2.691209404266624,0.23676363883003904,4.67759228700036,-18.444675285983834
Momentum 3,Inverse Volatility,Strategy,8-8,W-L,1.6996713613041,0.20342592863768647,3.4237586512078657,-11.089692630800709
