Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-01-01,208.19380482399166,208.49003430380552,202.07170200234518,204.25816345214844,18118,0.0,0.0
2014-01-02,203.14376566224138,206.41641512078425,202.5936290775509,205.2879180908203,95881,0.0,0.0
2014-01-03,207.06532764127215,211.8755594368255,200.99964505535502,208.5182647705078,13034,0.0,0.0
2014-01-06,204.06070759158962,212.98995601783642,204.06070759158962,208.60292053222656,35718,0.0,0.0
2014-01-07,206.54336652495027,210.1686662227087,206.54336652495027,208.2220001220703,38906,0.0,0.0
2014-01-08,208.75804872407875,217.51801971208403,206.30356825872346,213.03224182128906,361190,0.0,0.0
2014-01-09,213.08865546384664,217.20767099394888,210.1827681947183,212.2140655517578,109453,0.0,0.0
2014-01-10,212.98993655165768,216.67165754476395,206.81141255327316,209.9853057861328,109193,0.0,0.0
2014-01-13,212.411554396023,214.1325238327313,203.58106430393278,210.4366912841797,36925,0.0,0.0
2014-01-14,211.53698424482167,212.43978460266484,207.6436652687928,208.1938018798828,7278,0.0,0.0
2014-01-15,207.37566413024476,211.59342335571998,204.87886108891536,206.41644287109375,27162,0.0,0.0
2014-01-16,211.02917447699664,211.02917447699664,205.96503564579808,207.70010375976562,16303,0.0,0.0
2014-01-17,205.99320055931048,208.2078855394117,200.5905245295671,202.46664428710938,15065,0.0,0.0
2014-01-20,201.73314475012242,207.06530214869727,200.44948370549147,204.72366333007812,13740,0.0,0.0
2014-01-21,205.38667012006144,207.34743480331085,203.3976815750094,206.00733947753906,60971,0.0,0.0
2014-01-22,206.28946852601595,206.7972962755909,203.45412719290334,203.93373107910156,8212,0.0,0.0
2014-01-23,204.11713774361152,207.64369499960395,203.5387771877734,206.51519775390625,31590,0.0,0.0
2014-01-24,205.5136466033162,207.0794388288809,204.54031339223593,206.33180236816406,11537,0.0,0.0
2014-01-27,203.8491192713385,207.079447019315,202.15637339753943,206.529296875,28537,0.0,0.0
2014-01-28,206.52927588355925,207.36154352920903,204.96348375520975,206.3459014892578,4943,0.0,0.0
2014-01-29,203.12966061311056,207.3615313452058,203.12966061311056,206.88192749023438,114587,0.0,0.0
2014-01-30,204.42747085974335,207.07945156099893,203.97607733126293,205.6688232421875,14115,0.0,0.0
2014-01-31,208.7721611888227,208.7721611888227,204.70956632755414,207.29100036621094,12856,0.0,0.0
2014-02-03,211.56520931463538,211.56520931463538,204.54030573492187,204.99169921875,7575,0.0,0.0
2014-02-04,204.99172460808157,205.9368474886362,201.7755086424051,205.3302764892578,36571,0.0,0.0
2014-02-05,206.79729785048482,208.77217458981823,204.27228446781587,204.70957946777344,15931,0.0,0.0
2014-02-06,204.83652131153792,207.07941700455953,203.1296637521032,204.61082458496094,6809,0.0,0.0
2014-02-07,210.74702221195452,210.74702221195452,204.03246063114833,205.21739196777344,4109,0.0,0.0
2014-02-10,205.9509674229636,207.3615823789979,204.66729261136547,205.38671875,3215,0.0,0.0
2014-02-11,208.7721693781062,208.7721693781062,201.9165419623904,204.032470703125,4456,0.0,0.0
2014-02-12,207.05117820316647,207.92575458031823,201.78955420022527,202.46664428710938,25537,0.0,0.0
2014-02-13,204.3185469071876,207.4097499305544,201.2273438838208,202.0250701904297,6587,2.24,0.0
2014-02-14,202.49515465074228,208.26444643274627,202.28147214575813,204.16183471679688,6990,0.0,0.0
2014-02-17,201.01365758424538,206.270119567245,201.01365758424538,204.7601318359375,6581,0.0,0.0
2014-02-18,205.13052406318104,209.11918302923632,204.005162033048,205.04505920410156,5209,0.0,0.0
2014-02-19,202.9937449334408,207.95105977614628,202.9937449334408,206.49806213378906,3631,0.0,0.0
2014-02-20,207.97956967645467,207.97956967645467,204.56071719972942,205.13052368164062,46590,0.0,0.0
2014-02-21,207.1818344075888,213.96254935614022,205.44392663634127,212.7801971435547,61828,0.0,0.0
2014-02-24,212.48105924026498,217.6662944985859,210.0451271963232,215.1164093017578,119918,0.0,0.0
2014-02-25,215.102141958775,217.95117416258014,213.67761906424383,215.18760681152344,121256,0.0,0.0
2014-02-26,214.83150522148642,218.49251504077822,214.24744778523421,216.7688446044922,85053,0.0,0.0
2014-02-28,215.11637509873523,219.3756791789694,215.11637509873523,217.6377716064453,39637,0.0,0.0
2014-03-03,219.37573055872812,224.78889970047078,217.66631086953467,222.28175354003906,42765,0.0,0.0
2014-03-04,224.7746337949604,228.49263371302692,220.8144766469291,226.21339416503906,297378,0.0,0.0
2014-03-05,228.49263027989969,234.47557796428273,225.62933334824893,228.80601501464844,130284,0.0,0.0
2014-03-06,227.65214421710593,242.45288853853987,227.65214421710593,241.14231872558594,130215,0.0,0.0
2014-03-07,242.1822661256152,244.58971014710866,237.9514627745762,242.02557373046875,108543,0.0,0.0
2014-03-10,237.6095486736165,243.8489320761059,237.6095486736165,242.19650268554688,191334,0.0,0.0
2014-03-11,241.02836948785742,246.12813946871782,240.74345945818536,241.7691192626953,68425,0.0,0.0
2014-03-12,238.17933291093402,247.85181958620154,235.61522405446624,237.1251983642578,756456,0.0,0.0
2014-03-13,237.12521470506005,243.57829444040263,232.66647822287166,234.17645263671875,54771,0.0,0.0
2014-03-14,236.46995235822507,240.57256500713243,228.90576113588088,232.2676239013672,340887,0.0,0.0
2014-03-18,236.4699684724583,238.73495750483636,231.12802653635092,235.87167358398438,549078,0.0,0.0
2014-03-19,233.62092462934862,240.74351396055144,232.19640132900363,233.5354461669922,59256,0.0,0.0
2014-03-20,235.61522520385716,238.74915415739494,235.00266589590169,237.05398559570312,62684,0.0,0.0
2014-03-21,237.32461536948315,246.44151875340563,235.90009242311643,237.5382843017578,165553,0.0,0.0
