Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-01-01,833.1878447993208,840.4746077169382,831.490912385047,834.2858276367188,4688,0.0,0
2014-01-02,834.5353208134758,845.4654949460412,824.5035405258914,826.0507202148438,9490,0.0,0
2014-01-03,834.4355199618939,834.4355199618939,821.5089693168886,824.802978515625,5733,0.0,0
2014-01-06,828.3465909100106,838.4283299583753,818.5144598776549,820.361083984375,8433,0.0,0
2014-01-07,823.2557703322295,828.2467116497938,814.7711700923703,816.8174438476562,6485,0.0,0
2014-01-08,825.4517797801441,833.4372857245928,818.6141537604647,819.2630004882812,9176,0.0,0
2014-01-09,818.2649053279999,824.9028822692648,813.5235106341202,814.4718017578125,6586,0.0,0
2014-01-10,814.6714191586356,824.5035497096757,809.5307249570786,811.4273071289062,7382,0.0,0
2014-01-13,810.5289663708216,820.5108501931225,791.5633871084502,796.155029296875,5920,0.0,0
2014-01-14,788.6186413280922,807.3346716468934,788.5188468695565,790.7647705078125,7505,0.0,0
2014-01-15,785.3247421139306,802.1441926784712,779.5851586793515,783.5280151367188,8472,0.0,0
2014-01-16,778.9362759208127,798.6005991401701,778.9362759208127,788.5189208984375,8386,0.0,0
2014-01-17,790.615074179256,794.5579303653574,771.4998037409192,773.7457275390625,5118,0.0,0
2014-01-20,773.3464472517978,781.6313986192398,768.9543940108344,772.74755859375,4488,0.0,0
2014-01-21,773.3464711068347,787.5706559577833,772.7475824303132,782.4799194335938,5104,0.0,0
2014-01-22,779.734823252339,818.0153205968311,779.734823252339,795.9553833007812,13864,0.0,0
2014-01-23,789.7666388071891,806.5361909893785,786.0234324752458,789.417236328125,5058,0.0,0
2014-01-24,782.5796909172453,795.3065927784633,768.0560621546546,769.5533447265625,6289,0.0,0
2014-01-27,766.6086676761308,772.0987037076657,751.9851836950277,757.4752197265625,5464,0.0,0
2014-01-28,753.632158478707,773.4961298071161,751.0368932961612,752.7337646484375,7773,0.0,0
2014-01-29,756.6267819121402,765.6104772118887,748.7410694458614,749.7392578125,5187,0.0,0
2014-01-30,763.5143183174919,773.5460993789785,723.8862273383248,727.1802368164062,11784,0.0,0
2014-01-31,727.6793029519697,762.4661423789493,727.6793029519697,745.896240234375,18705,0.0,0
2014-02-03,745.6466830602976,746.9443157053391,728.6774814377741,732.2709350585938,4612,0.0,0
2014-02-04,724.6847238485298,733.4188716910568,724.6847238485298,730.9234008789062,3707,0.0,0
