Strategy,Strategy,Strategy,Strategy,Summary,Summary,Risk Measures,Risk Measures,Risk Measures,Risk Measures
Momentum,Portfolio,Criterion,Strategy,Mean,STD,Fin Wealth,Sharpe Ratio,Var 95%,Max DD
Momentum 1,W,7-7,Strategy,0.5420107210512152,8.17354155807866,1.6019326289104634,0.06631283602094079,13.32981705589771,-76.27465702377762
Momentum 1,L,7-7,Strategy,-0.82039982185488,9.194743290463256,0.4416586139551239,-0.08922487512030867,15.276151300959661,-80.9187492087116
Momentum 1,W-L,7-7,Strategy,1.3624105429060953,5.600783243855925,1.1602740149553394,0.24325357429260694,6.651164045926467,-236.98956004312925
Momentum 2,W,1-7,Contrarian Strategy,-1.5776466914341758,7.258600817925753,0.1973935205059422,-0.21734859527445544,10.736815570194281,-84.77351936740641
Momentum 2,L,1-7,Contrarian Strategy,-1.1454913890533502,8.049963723303774,0.3134521759825992,-0.1422977082166565,15.28305787545699,-87.32345881046626
Momentum 2,L-W,1-7,Contrarian Strategy,0.43215530238082556,4.471628668649452,0.11605865547665703,0.09664382586386532,8.21429372496108,-126.76401034625802
Momentum 3,W,2-6,Strategy,0.7062986868679108,6.909334367180046,1.8239607846417294,0.10222383942263563,9.099007348000596,-53.12146391404402
Momentum 3,L,2-6,Strategy,-0.4064458733252575,8.00105271810782,0.6420874360796103,-0.05079904953074456,14.4740039339294,-83.92238585736041
Momentum 3,W-L,2-6,Strategy,1.1127445601931683,4.000782053953884,1.1818733485621191,0.2781317615373393,4.40363420359383,-103.48956560371796
Traditional Momentum,W,1-6,Contrarian Strategy,-1.890375262813908,7.228273590731198,0.1462287435363196,-0.2615251400054825,11.32095398001684,-87.83747088502014
Traditional Momentum,L,1-6,Contrarian Strategy,-0.21678813189903376,8.211879539954968,0.779939511197896,-0.026399331705275184,11.878005852068787,-76.0581064006446
Traditional Momentum,L-W,1-6,Contrarian Strategy,1.6735871309148744,4.344228461660077,0.6337107676615763,0.3852438115732385,4.87674957726397,-289.29742386764934
