Strategy,Strategy,Strategy,Strategy,Summary,Summary,Risk Measures,Risk Measures,Risk Measures,Risk Measures
Momentum,Portfolio,Criterion,Strategy,Mean,STD,Fin Wealth,Sharpe Ratio,Var 95%,Max DD
Momentum 1,W,2-3,Strategy,1.0668755402910113,8.008881801918958,2.7354187014372044,0.13321154771386237,12.255636708233645,-2.504278822328482
Momentum 1,L,2-3,Strategy,-0.14663616364430898,9.946063747556725,0.8523008811164681,-0.014743135311226063,16.423608059308272,-2.965957389616258
Momentum 1,W-L,2-3,Strategy,1.2135117039353203,6.356256045708935,1.8831178203207364,0.19091611401566394,8.759056570054277,-2.184053064488063
Momentum 2,W,6-8,Strategy,0.6272215713790058,8.164471202498035,1.8230677647159357,0.07682329397978628,10.755264768144333,-2.125941522190847
Momentum 2,L,6-8,Strategy,-0.7243444598604444,10.18663276632354,0.5007343629489045,-0.07110734984528826,16.53916711428135,-3.0200467522818815
Momentum 2,W-L,6-8,Strategy,1.3515660312394502,7.265740844136439,1.3223334017670312,0.18601902548315966,7.882310220284916,-2.2810529100466854
Momentum 3,W,8-8,Strategy,1.7272717197151621,6.182747341175125,5.142943626088674,0.279369611016139,8.154340283708002,-1.8608888125363523
Momentum 3,L,8-8,Strategy,0.39088698432170127,8.261543292140393,1.49973070367743,0.04731403933857867,12.198905104402145,-3.6804201763955273
Momentum 3,W-L,8-8,Strategy,1.3363847353934608,5.725291184215872,3.643212922411244,0.233417776038668,6.18733286187437,-1.917748298077647
Traditional Momentum,W,6-8,Strategy,0.9240305565808059,8.562397550864194,2.421272871831216,0.10791726862618571,11.172035099879041,-2.2644322788556273
Traditional Momentum,L,6-8,Strategy,-1.2648701855664637,11.494696898999285,0.2992328035537615,-0.11003945529669266,19.362654055022606,-3.2646193746365553
Traditional Momentum,W-L,6-8,Strategy,2.1889007421472697,8.603100668639875,2.122040068277455,0.25443160860900726,10.843539779441551,-2.296012642588126
