Date,Rate,Open,High,Low,Percentage Change
"Dec 31, 2021",6.454,6.481,6.49,6.451,-0.0023
"Dec 30, 2021",6.469,6.484,6.484,6.469,0.0012
"Dec 29, 2021",6.461,6.484,6.484,6.461,-0.0026
"Dec 28, 2021",6.478,6.491,6.497,6.476,0.002
"Dec 27, 2021",6.465,6.469,6.47,6.447,0.0005
"Dec 24, 2021",6.462,6.479,6.479,6.45,0.0003
"Dec 23, 2021",6.46,6.486,6.486,6.457,-0.0006
"Dec 22, 2021",6.464,6.483,6.486,6.462,-0.0006
"Dec 21, 2021",6.468,6.445,6.475,6.445,0.0051
"Dec 20, 2021",6.435,6.401,6.468,6.401,0.0037
"Dec 17, 2021",6.411,6.381,6.415,6.381,0.0058
"Dec 16, 2021",6.374,6.374,6.377,6.369,0.0016
"Dec 15, 2021",6.364,6.357,6.365,6.353,0.0013
"Dec 14, 2021",6.356,6.366,6.369,6.356,-0.0022
"Dec 13, 2021",6.37,6.37,6.379,6.356,0
"Dec 10, 2021",6.37,6.356,6.371,6.347,0.0035
"Dec 09, 2021",6.348,6.366,6.366,6.347,0.0002
"Dec 08, 2021",6.347,6.402,6.402,6.343,-0.0069
"Dec 07, 2021",6.391,6.375,6.393,6.372,0.005
"Dec 06, 2021",6.359,6.364,6.375,6.356,-0.0016
"Dec 03, 2021",6.369,6.352,6.372,6.352,0.0027
"Dec 02, 2021",6.352,6.348,6.355,6.34,-0.0002
"Dec 01, 2021",6.353,6.36,6.36,6.345,0.0043
"Nov 30, 2021",6.326,6.331,6.342,6.307,-0.0014
"Nov 29, 2021",6.335,6.375,6.375,6.329,0.0008
"Nov 26, 2021",6.33,6.338,6.338,6.319,-0.0058
"Nov 25, 2021",6.367,6.376,6.376,6.366,0
"Nov 24, 2021",6.367,6.39,6.39,6.363,0.0005
"Nov 23, 2021",6.364,6.372,6.377,6.361,0.002
"Nov 22, 2021",6.351,6.339,6.353,6.321,0.0009
"Nov 18, 2021",6.345,6.351,6.351,6.335,-0.0025
"Nov 17, 2021",6.361,6.379,6.385,6.358,-0.0005
"Nov 16, 2021",6.364,6.393,6.393,6.355,0.0035
"Nov 15, 2021",6.342,6.361,6.361,6.342,-0.0041
"Nov 12, 2021",6.368,6.386,6.386,6.349,0.0002
"Nov 11, 2021",6.367,6.367,6.378,6.356,0.0049
"Nov 10, 2021",6.336,6.3,6.338,6.296,0.0068
