Strategy,Strategy,Strategy,Strategy,Summary,Summary,Risk Measures,Risk Measures,Risk Measures,Risk Measures
Momentum,Portfolio,Criterion,Strategy,Mean,STD,Fin Wealth,Sharpe Ratio,Var 95%,Max DD
Momentum 1,W,7-2,Strategy,1.542455565080922,7.904583524088109,4.13606507570171,0.1951343243297392,11.167702909079226,-3.820397548008256
Momentum 1,L,7-2,Strategy,-1.3160786700129732,12.80590019544465,0.3131457118419793,-0.10277127339170833,18.063620344706205,-3.9880744076586043
Momentum 1,W-L,7-2,Strategy,2.858534235093895,8.457266975204632,3.822919363859731,0.33799739838823406,11.205384597119759,-1.958978292092249
Momentum 2,W,3-9,Strategy,1.2343449348430966,7.630914984164645,3.1602612934357692,0.16175582317514448,10.516928872533748,-3.3501834391743883
Momentum 2,L,3-9,Strategy,-1.0472676066761053,10.587250474860808,0.38824214954366815,-0.09891780771247635,17.280133856514333,-4.878326632739739
Momentum 2,W-L,3-9,Strategy,2.281612541519202,5.58642335791827,2.772019143892101,0.40842098697822715,5.367255107032337,-2.244643757084309
Momentum 3,W,6-5,Strategy,2.1038422811513096,5.800762745684205,6.502443820371089,0.3626837320172383,8.04692913692209,-3.4249529117636732
Momentum 3,L,6-5,Strategy,-0.27793255740527717,9.179653283470827,0.777161531413203,-0.030277021236273845,13.781489941607258,-13.873250484068437
Momentum 3,W-L,6-5,Strategy,2.381774838556587,6.676994828151638,5.725282288957886,0.35671359643930156,7.077781723621174,-2.3164773883878786
Traditional Momentum,W,5-7,Strategy,2.0374671917087537,7.114033344160052,6.097789895597887,0.28640113043345816,9.047361126455657,-2.893838478242434
Traditional Momentum,L,5-7,Strategy,-1.4813659290716132,12.392441906398748,0.2676328110301894,-0.11953785543321535,18.82711578606162,-9.772926431681526
Traditional Momentum,W-L,5-7,Strategy,3.518833120780367,8.957060002239896,5.8301570845676975,0.3928558165179658,9.565205705607886,-2.2141756828883956
